controller,ports,net_profit_mean,net_profit_std,net_profit_min,net_profit_max,net_profit_median,net_profit_n,net_profit_ci_lower,net_profit_ci_upper,total_revenue_mean,total_revenue_std,total_revenue_min,total_revenue_max,total_revenue_median,total_revenue_n,total_revenue_ci_lower,total_revenue_ci_upper,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,total_cost_median,total_cost_n,total_cost_ci_lower,total_cost_ci_upper,served_customers_mean,served_customers_std,served_customers_min,served_customers_max,served_customers_median,served_customers_n,served_customers_ci_lower,served_customers_ci_upper,rejected_customers_mean,rejected_customers_std,rejected_customers_min,rejected_customers_max,rejected_customers_median,rejected_customers_n,rejected_customers_ci_lower,rejected_customers_ci_upper,mean_soc_fulfillment_mean,mean_soc_fulfillment_std,mean_soc_fulfillment_min,mean_soc_fulfillment_max,mean_soc_fulfillment_median,mean_soc_fulfillment_n,mean_soc_fulfillment_ci_lower,mean_soc_fulfillment_ci_upper,gap_to_best_mean,gap_to_best_std,gap_to_best_min,gap_to_best_max,gap_to_best_median,gap_to_best_n,gap_to_best_ci_lower,gap_to_best_ci_upper,total_compute_s_mean,total_compute_s_std,total_compute_s_min,total_compute_s_max,total_compute_s_median,total_compute_s_n,total_compute_s_ci_lower,total_compute_s_ci_upper,mean_step_ms_mean,mean_step_ms_std,mean_step_ms_min,mean_step_ms_max,mean_step_ms_median,mean_step_ms_n,mean_step_ms_ci_lower,mean_step_ms_ci_upper
milp_h12,6,116.52,18.78,77.76,162.74,116.78,30,109.8,123.24,345.94,55.95,230.92,483.54,346.75,30,325.91,365.96,229.42,37.17,153.16,320.8,229.97,30,216.12,242.72,14.8,2.3,10,20,15.0,30,14.0,15.6,224.8,15.6,191,266,225.5,30,219.2,230.4,0.929,0.078,0.742,0.999,0.944,30,0.901,0.957,-0.01,0.03,-0.11,0.0,-0.0,30,-0.02,0.0,8.62,1.48,7.18,14.12,8.3,30,8.09,9.15,29.93,5.15,24.93,49.03,28.81,30,28.09,31.77
milp_h12,12,229.41,37.0,153.56,319.18,230.3,30,216.17,242.65,684.63,110.61,458.32,952.95,687.34,30,645.05,724.21,455.22,73.61,304.77,633.77,457.04,30,428.88,481.56,28.9,4.3,23,40,28.0,30,27.3,30.4,205.6,15.0,174,238,207.0,30,200.3,211.0,0.923,0.057,0.79,0.998,0.924,30,0.903,0.944,-0.02,0.09,-0.49,0.0,-0.0,30,-0.05,0.01,12.99,0.99,11.38,15.57,12.8,30,12.63,13.34,45.09,3.42,39.51,54.08,44.44,30,43.87,46.32
milp_h3,3,59.29,9.56,39.42,82.73,59.39,30,55.87,62.71,174.28,28.28,115.91,243.6,174.63,30,164.16,184.4,114.99,18.72,76.48,160.87,115.24,30,108.29,121.69,8.8,1.7,5,13,9.0,30,8.2,9.4,233.8,15.3,200,270,235.5,30,228.3,239.3,0.883,0.199,0.0,0.999,0.957,30,0.812,0.954,-0.05,0.06,-0.24,0.0,-0.02,30,-0.07,-0.02,7.86,3.55,3.16,14.99,7.08,30,6.59,9.13,27.28,12.31,10.96,52.04,24.6,30,22.87,31.69
milp_h3,6,116.41,18.78,77.72,162.64,116.76,30,109.69,123.13,345.62,55.94,230.79,483.24,346.7,30,325.61,365.64,229.21,37.16,153.07,320.6,229.94,30,215.92,242.51,14.5,2.7,9,20,14.0,30,13.5,15.5,225.2,14.7,193,261,225.0,30,220.0,230.5,0.923,0.07,0.802,0.999,0.919,30,0.898,0.948,-0.12,0.14,-0.64,0.0,-0.07,30,-0.17,-0.07,4.16,0.78,3.44,6.47,3.91,30,3.88,4.44,14.44,2.7,11.94,22.48,13.59,30,13.48,15.41
milp_h3,12,229.28,36.9,153.52,319.18,230.3,30,216.08,242.49,684.25,110.31,458.2,952.95,687.34,30,644.78,723.73,454.97,73.41,304.68,633.77,457.04,30,428.7,481.24,27.4,4.6,16,39,27.0,30,25.7,29.0,207.1,16.2,169,245,209.0,30,201.3,212.9,0.941,0.054,0.757,0.999,0.944,30,0.922,0.961,-0.14,0.54,-2.95,0.0,-0.0,30,-0.34,0.05,5.28,0.55,4.64,7.08,5.1,30,5.09,5.48,18.34,1.91,16.1,24.59,17.72,30,17.66,19.03
milp_h6,3,59.3,9.54,39.46,82.75,59.46,30,55.89,62.71,174.33,28.22,116.02,243.69,174.83,30,164.23,184.43,115.03,18.69,76.56,160.94,115.37,30,108.35,121.72,8.8,2.3,6,16,8.5,30,8.0,9.6,233.8,15.5,199,273,235.0,30,228.2,239.3,0.946,0.077,0.712,0.999,0.997,30,0.918,0.973,-0.04,0.08,-0.34,0.0,0.0,30,-0.06,-0.01,4.93,0.58,3.9,6.44,4.89,30,4.73,5.14,17.13,2.01,13.55,22.35,16.98,30,16.41,17.85
milp_h6,6,116.43,18.82,77.76,162.83,116.78,30,109.7,123.16,345.67,56.06,230.92,483.79,346.68,30,325.61,365.73,229.24,37.24,153.16,320.97,229.84,30,215.91,242.57,14.0,2.5,9,19,14.0,30,13.1,14.9,225.8,15.1,195,264,228.0,30,220.4,231.2,0.913,0.107,0.554,0.999,0.943,30,0.875,0.952,-0.1,0.25,-0.97,0.0,-0.0,30,-0.19,-0.01,5.75,0.85,4.85,8.93,5.51,30,5.45,6.06,19.98,2.94,16.84,31.02,19.14,30,18.93,21.03
milp_h6,12,229.42,36.99,153.56,319.18,230.18,30,216.18,242.66,684.66,110.59,458.32,952.95,686.97,30,645.09,724.23,455.24,73.6,304.77,633.77,456.79,30,428.91,481.58,26.7,4.0,19,34,26.5,30,25.3,28.1,207.9,15.7,171,246,209.0,30,202.3,213.5,0.928,0.052,0.786,0.999,0.936,30,0.909,0.946,-0.01,0.04,-0.24,0.0,-0.0,30,-0.02,0.01,7.68,0.75,6.3,9.33,7.72,30,7.41,7.95,26.67,2.59,21.88,32.39,26.82,30,25.75,27.6
random,3,50.95,8.49,33.39,70.44,51.2,30,47.91,53.98,152.84,25.47,100.18,211.33,153.61,30,143.72,161.95,101.89,16.98,66.79,140.88,102.4,30,95.81,107.97,8.7,1.5,6,13,9.0,30,8.2,9.2,233.8,15.4,199,273,236.0,30,228.3,239.3,0.954,0.081,0.682,1.0,0.997,30,0.924,0.983,-8.39,1.31,-12.31,-5.73,-8.33,30,-8.86,-7.92,0.01,0.0,0.01,0.01,0.01,30,0.01,0.01,0.03,0.0,0.02,0.03,0.03,30,0.03,0.03
random,6,105.61,17.11,69.92,148.49,106.1,30,99.49,111.73,316.83,51.32,209.75,445.48,318.29,30,298.46,335.2,211.22,34.22,139.83,296.98,212.19,30,198.98,223.46,18.6,3.0,11,24,18.5,30,17.5,19.7,221.0,15.7,187,259,222.5,30,215.4,226.6,0.903,0.082,0.737,0.999,0.904,30,0.874,0.933,-10.92,1.92,-14.63,-7.59,-11.03,30,-11.61,-10.23,0.01,0.0,0.01,0.01,0.01,30,0.01,0.01,0.03,0.0,0.03,0.03,0.03,30,0.03,0.03
random,12,213.89,35.02,144.7,299.91,215.27,30,201.36,226.43,641.68,105.07,434.09,899.73,645.8,30,604.08,679.28,427.79,70.04,289.39,599.82,430.54,30,402.72,452.85,34.5,3.6,27,43,34.0,30,33.2,35.8,199.0,16.7,161,238,202.0,30,193.0,205.0,0.915,0.059,0.793,0.998,0.913,30,0.894,0.936,-15.53,2.75,-20.3,-8.53,-16.15,30,-16.52,-14.55,0.01,0.0,0.01,0.02,0.01,30,0.01,0.01,0.04,0.0,0.04,0.06,0.04,30,0.04,0.05
