,net_profit,net_profit,net_profit,served_customers,served_customers,served_customers,rejected_customers,rejected_customers,rejected_customers
ports,3,6,12,3,6,12,3,6,12
controller,,,,,,,,,
equal_share,45.79,85.9,174.77,7.17,13.33,25.63,235.3,226.1,208.0
max_charge,57.76,115.06,228.18,10.4,20.67,39.2,232.13,218.83,194.6
milp_h1,59.21,116.36,229.34,8.07,14.53,25.13,234.43,225.07,208.47
milp_h12,59.3,116.52,229.41,8.47,14.83,28.87,234.03,224.8,205.63
milp_h3,59.29,116.41,229.28,8.8,14.5,27.37,233.8,225.23,207.1
milp_h6,59.3,116.43,229.42,8.77,14.0,26.7,233.77,225.8,207.87
random,50.95,105.61,213.89,8.7,18.6,34.53,233.83,221.0,199.0
