,net_profit,net_profit,net_profit,served_customers,served_customers,served_customers,rejected_customers,rejected_customers,rejected_customers
ports,3,6,12,3,6,12,3,6,12
controller,,,,,,,,,
equal_share,151.25,327.95,662.22,6.1,14.8,28.6,239.0,227.3,207.7
max_charge,208.16,414.61,821.53,10.2,21.9,39.2,234.9,220.2,197.2
milp_h1,208.01,414.61,820.76,8.4,19.2,32.3,236.7,223.2,203.9
milp_h12,208.18,414.53,821.5,7.6,16.0,27.0,237.5,226.4,210.1
milp_h3,208.11,414.57,821.53,8.7,15.4,26.7,236.4,227.3,211.1
milp_h6,208.18,414.36,821.36,8.1,15.2,27.5,237.0,227.5,210.1
random,182.78,381.55,772.28,8.5,19.0,34.2,236.7,223.3,202.0
