controller,ports,net_profit_mean,net_profit_std,net_profit_min,net_profit_max,net_profit_median,net_profit_n,net_profit_ci_lower,net_profit_ci_upper,total_revenue_mean,total_revenue_std,total_revenue_min,total_revenue_max,total_revenue_median,total_revenue_n,total_revenue_ci_lower,total_revenue_ci_upper,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,total_cost_median,total_cost_n,total_cost_ci_lower,total_cost_ci_upper,served_customers_mean,served_customers_std,served_customers_min,served_customers_max,served_customers_median,served_customers_n,served_customers_ci_lower,served_customers_ci_upper,rejected_customers_mean,rejected_customers_std,rejected_customers_min,rejected_customers_max,rejected_customers_median,rejected_customers_n,rejected_customers_ci_lower,rejected_customers_ci_upper,mean_soc_fulfillment_mean,mean_soc_fulfillment_std,mean_soc_fulfillment_min,mean_soc_fulfillment_max,mean_soc_fulfillment_median,mean_soc_fulfillment_n,mean_soc_fulfillment_ci_lower,mean_soc_fulfillment_ci_upper,gap_to_best_mean,gap_to_best_std,gap_to_best_min,gap_to_best_max,gap_to_best_median,gap_to_best_n,gap_to_best_ci_lower,gap_to_best_ci_upper,total_compute_s_mean,total_compute_s_std,total_compute_s_min,total_compute_s_max,total_compute_s_median,total_compute_s_n,total_compute_s_ci_lower,total_compute_s_ci_upper,mean_step_ms_mean,mean_step_ms_std,mean_step_ms_min,mean_step_ms_max,mean_step_ms_median,mean_step_ms_n,mean_step_ms_ci_lower,mean_step_ms_ci_upper
milp_h12,6,414.53,23.62,373.53,463.47,414.24,10,399.89,429.17,639.41,3.23,632.35,643.8,640.1,10,637.41,641.41,224.88,24.13,176.48,268.52,226.11,10,209.92,239.83,16.0,2.5,11,21,16.0,10,14.5,17.5,226.4,17.6,208,262,224.0,10,215.5,237.3,0.916,0.08,0.803,0.999,0.907,10,0.867,0.965,-0.08,0.17,-0.42,0.0,-0.0,10,-0.18,0.02,13.0,2.26,10.77,17.9,12.51,10,11.6,14.4,45.14,7.86,37.4,62.17,43.45,10,40.27,50.01
milp_h12,12,821.5,47.74,740.42,920.82,825.11,10,791.91,851.09,1267.06,8.73,1247.2,1275.4,1269.05,10,1261.65,1272.47,445.56,47.92,349.98,532.98,449.56,10,415.86,475.26,27.0,4.7,22,38,26.0,10,24.1,29.9,210.1,19.1,192,248,203.0,10,198.2,222.0,0.887,0.089,0.679,0.998,0.906,10,0.832,0.942,-0.03,0.09,-0.28,0.0,-0.0,10,-0.08,0.03,23.79,9.55,16.86,43.89,19.86,10,17.87,29.72,82.62,33.18,58.55,152.4,68.96,10,62.05,103.18
milp_h3,3,208.11,11.77,187.01,232.17,207.82,10,200.82,215.41,321.04,1.1,319.18,322.88,320.86,10,320.35,321.72,112.92,12.08,88.45,134.41,113.45,10,105.43,120.41,8.7,2.9,6,14,7.5,10,6.9,10.5,236.4,17.1,219,270,233.5,10,225.8,247.0,0.877,0.158,0.495,0.999,0.907,10,0.779,0.974,-0.11,0.34,-1.07,0.0,0.0,10,-0.32,0.1,10.94,2.29,7.07,13.6,11.4,10,9.52,12.36,37.99,7.97,24.54,47.23,39.57,10,33.05,42.93
milp_h3,6,414.57,23.56,373.53,463.47,414.24,10,399.97,429.17,639.47,3.16,633.0,643.8,640.35,10,637.52,641.43,224.9,24.16,176.48,268.52,226.11,10,209.93,239.88,15.4,2.2,12,18,16.0,10,14.0,16.8,227.3,16.8,212,263,223.0,10,216.9,237.7,0.88,0.1,0.669,0.999,0.886,10,0.818,0.942,-0.04,0.13,-0.42,0.0,-0.0,10,-0.12,0.04,6.66,1.11,5.18,9.14,6.6,10,5.97,7.34,23.12,3.84,18.0,31.75,22.93,10,20.74,25.5
milp_h3,12,821.53,47.72,740.42,920.82,825.11,10,791.95,851.1,1267.11,8.77,1247.2,1275.4,1269.05,10,1261.67,1272.55,445.58,47.94,349.98,532.98,449.56,10,415.87,475.29,26.7,3.5,21,33,26.5,10,24.6,28.8,211.1,18.9,192,249,204.5,10,199.4,222.8,0.869,0.096,0.679,0.997,0.883,10,0.81,0.929,-0.0,0.0,-0.0,0.0,0.0,10,-0.0,-0.0,15.87,1.65,14.32,20.11,15.38,10,14.84,16.89,55.1,5.74,49.73,69.84,53.39,10,51.54,58.66
milp_h6,3,208.18,11.76,187.01,232.17,207.82,10,200.89,215.47,321.13,1.1,319.18,322.88,321.26,10,320.45,321.82,112.95,12.09,88.45,134.41,113.45,10,105.46,120.44,8.1,2.3,6,12,7.5,10,6.7,9.5,237.0,16.5,220,270,233.5,10,226.8,247.2,0.892,0.162,0.495,0.999,0.976,10,0.792,0.993,-0.04,0.13,-0.42,0.0,0.0,10,-0.12,0.04,9.54,3.81,6.9,17.49,7.89,10,7.18,11.91,33.14,13.24,23.94,60.74,27.38,10,24.94,41.35
milp_h6,6,414.36,23.07,373.53,461.34,414.24,10,400.06,428.66,639.15,3.27,633.0,643.8,640.35,10,637.12,641.18,224.79,24.41,175.36,268.52,226.11,10,209.66,239.93,15.2,2.0,12,18,16.0,10,13.9,16.5,227.5,17.0,211,263,224.0,10,217.0,238.0,0.866,0.133,0.586,0.999,0.876,10,0.783,0.948,-0.25,0.67,-2.13,0.0,-0.0,10,-0.67,0.16,8.6,1.42,7.15,11.63,8.28,10,7.72,9.48,29.87,4.92,24.83,40.37,28.73,10,26.82,32.92
milp_h6,12,821.36,47.68,740.42,920.82,824.27,10,791.81,850.91,1266.83,8.52,1247.2,1275.4,1269.05,10,1261.55,1272.11,445.47,47.94,349.98,532.98,448.99,10,415.75,475.18,27.5,5.3,21,40,26.5,10,24.2,30.8,210.1,19.8,191,249,204.5,10,197.8,222.4,0.887,0.094,0.679,0.999,0.891,10,0.829,0.946,-0.17,0.53,-1.68,0.0,0.0,10,-0.5,0.16,16.08,6.17,9.68,24.32,12.9,10,12.25,19.9,55.82,21.41,33.59,84.43,44.78,10,42.55,69.09
random,3,182.78,8.78,168.0,200.03,183.39,10,177.33,188.22,282.17,4.02,276.67,288.91,281.68,10,279.67,284.66,99.39,11.5,76.65,120.9,99.3,10,92.26,106.52,8.5,2.2,6,13,8.5,10,7.2,9.8,236.7,17.2,220,273,233.5,10,226.1,247.3,0.965,0.056,0.835,1.0,0.997,10,0.93,1.0,-25.44,3.68,-32.14,-19.01,-25.48,10,-27.72,-23.16,0.01,0.0,0.01,0.02,0.01,10,0.01,0.01,0.05,0.01,0.04,0.06,0.04,10,0.04,0.05
random,6,381.55,22.28,346.65,429.46,379.79,10,367.74,395.36,588.48,5.47,578.73,596.47,589.65,10,585.09,591.87,206.93,22.54,163.15,249.82,206.2,10,192.96,220.9,19.0,3.4,13,24,19.0,10,16.9,21.1,223.3,16.9,204,259,220.0,10,212.8,233.8,0.89,0.082,0.788,0.998,0.877,10,0.839,0.94,-33.06,3.26,-37.56,-26.88,-33.09,10,-35.08,-31.04,0.02,0.01,0.01,0.03,0.01,10,0.01,0.02,0.06,0.03,0.03,0.1,0.05,10,0.04,0.08
random,12,772.28,46.4,685.04,858.34,777.34,10,743.52,801.04,1191.0,12.46,1169.18,1212.13,1192.21,10,1183.27,1198.72,418.72,45.06,324.46,495.68,421.63,10,390.79,446.65,34.2,4.6,27,43,33.0,10,31.3,37.1,202.0,16.7,186,238,196.5,10,191.6,212.4,0.902,0.065,0.793,0.998,0.902,10,0.861,0.942,-49.25,6.86,-62.49,-40.81,-47.89,10,-53.5,-45.0,0.03,0.01,0.02,0.04,0.04,10,0.03,0.04,0.12,0.04,0.07,0.15,0.14,10,0.1,0.14
