controller,total_compute_s,mean_step_ms
equal_share,0.006,0.021
max_charge,0.002,0.006
milp_h1,5.858,20.342
milp_h12,17.579,61.04
milp_h3,11.156,38.735
milp_h6,11.408,39.612
random,0.022,0.075
