controller,total_compute_s,mean_step_ms
equal_share,0.005,0.018
max_charge,0.002,0.006
milp_h1,6.114,21.229
milp_h12,38.188,132.597
milp_h3,10.846,37.66
milp_h6,9.467,32.871
random,0.027,0.095
