,net_profit,net_profit,net_profit,served_customers,served_customers,served_customers,rejected_customers,rejected_customers,rejected_customers
ports,3,6,12,3,6,12,3,6,12
controller,,,,,,,,,
equal_share,24.5,52.62,107.08,6.1,14.8,28.6,239.0,227.3,207.7
max_charge,33.88,67.48,133.67,10.2,21.9,39.2,234.9,220.2,197.2
milp_h1,33.86,67.48,133.55,8.4,19.2,32.3,236.7,223.2,203.9
milp_h12,33.89,67.47,133.53,7.9,14.7,27.5,237.2,227.8,210.2
milp_h3,33.88,67.48,133.62,8.7,14.0,28.3,236.4,228.6,209.3
milp_h6,33.89,67.48,133.63,8.1,14.5,27.5,237.0,227.9,209.4
random,29.82,62.08,125.62,8.5,19.0,34.2,236.7,223.3,202.0
