controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,106.34371242920557,164.0373486638069,57.693636234601335,5,228,0.9982737150186118,4.267700099851936,14.81840312448589,-0.0012081033902120453,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,1,107.95689197480678,163.8623492002487,55.90545722544193,4,228,0.8692193757670923,4.076863200083608,14.155775000290305,1.6119714422110007,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,2,110.13246091703573,164.4248486638069,54.292387746771176,3,238,0.9993807198347596,4.154243599958136,14.424456944299083,3.78754038443995,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,3,106.17695484956104,163.4748492002487,57.29789435068766,4,229,0.9972724439596403,4.2627421998477075,14.801188193915651,-0.1679656830347369,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,4,103.23310362547636,164.81234866380692,61.579245038330555,4,235,0.9970989461652385,4.234074200008763,14.701646527808204,-3.111816907119419,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,5,109.07528714587289,162.7373502731323,53.662063127259415,7,247,0.9977104654228673,4.135580300135189,14.35965381991385,2.7303666132771127,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,6,103.13280880699554,162.31234920024872,59.17954039325317,2,277,0.0,4.15309069986688,14.420453818982221,-3.212111725600238,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,7,119.4605170711875,163.68734973669052,44.226832665503025,3,224,0.0,4.29329070005042,14.90725937517507,13.115596538591717,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,8,110.16571167409418,162.6998492002487,52.53413752615452,2,244,0.0,4.179034599947045,14.510536805371682,3.820791141498404,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,9,96.741010936598,163.86234920024873,67.12133826365073,5,263,0.6809168859354748,4.20528230004129,14.601674652921146,-9.603909595997777,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,10,88.90705920656522,164.0373486638069,75.13028945724169,3,235,0.9962812806910147,4.322829999917303,15.009826388601747,-17.437861326030557,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,11,104.53441167602935,162.29984979629515,57.765438120265806,8,206,0.841312629177567,4.096124499803409,14.222654513206281,-1.810508856566429,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
milp_h1,12,105.73708268553017,163.6498486638069,57.91276597827673,3,247,0.9990944965191934,4.194991100157495,14.565941319991301,-0.6078378470656105,3,0.5,0_75_p3_h1_3_6_12_s0_50,0.75,True,True,highs
