controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h12,0,51.73074755072594,80.71875,28.988002449274063,3,230,0.9979239276343531,13.053834899998037,45.32581562499318,0.0,3,0.25,0_75_p3_h12_s0_25,0.75,True,False,highs
equal_share,0,51.72274292501896,80.70503750090518,28.98229457588621,6,227,0.6940820037845934,0.0028216999417054467,0.0097975692420328,-0.008004625706973911,3,0.25,0_75_p3_h12_s0_25,0.75,True,False,highs
max_charge,0,51.730747550725916,80.71874999999997,28.988002449274056,6,227,0.6940820037845934,0.0012753999544656835,0.004428472064116957,-2.1316282072803006e-14,3,0.25,0_75_p3_h12_s0_25,0.75,True,False,highs
random,0,51.509482209201174,80.36644207262975,28.856959863428578,5,228,0.9960639823666053,0.01125000003958121,0.03906250013743476,-0.22126534152476296,3,0.25,0_75_p3_h12_s0_25,0.75,True,False,highs
milp_h12,0,206.50981553395582,322.2249999999999,115.71518446604408,8,216,0.8140078782039885,28.398213400068926,98.60490763912821,-5.684341886080802e-14,12,0.25,0_75_p12_h12_s0_25,0.75,True,False,highs
equal_share,0,192.7742417921583,300.3906112707961,107.61636947863781,13,211,0.7318638433178212,0.0046636000406579114,0.01619305569672886,-13.735573741797566,12,0.25,0_75_p12_h12_s0_25,0.75,True,False,highs
max_charge,0,206.50981553395587,322.22499999999997,115.7151844660441,17,207,0.8081333681889767,0.0018880999632528983,0.006555902650183675,0.0,12,0.25,0_75_p12_h12_s0_25,0.75,True,False,highs
random,0,204.91371047444915,319.71403220199517,114.800321727546,8,216,0.6051126395559786,0.019689400018251035,0.06836597228559388,-1.5961050595067263,12,0.25,0_75_p12_h12_s0_25,0.75,True,False,highs
