,net_profit,net_profit,net_profit,served_customers,served_customers,served_customers,rejected_customers,rejected_customers,rejected_customers
ports,3,6,12,3,6,12,3,6,12
controller,,,,,,,,,
equal_share,163.09,309.54,627.65,7.17,13.33,25.63,235.3,226.1,208.0
max_charge,205.56,409.48,812.09,10.4,20.67,39.2,232.13,218.83,194.6
milp_h1,207.67,411.14,813.18,8.07,14.53,25.13,234.43,225.07,208.47
milp_h12,208.0,411.65,813.36,8.23,15.47,28.57,234.27,224.37,205.87
milp_h3,207.85,411.25,813.37,8.93,14.5,26.83,233.67,225.3,207.93
milp_h6,208.09,411.45,813.4,9.17,14.13,28.93,233.27,225.77,205.67
random,180.99,376.06,760.92,8.7,18.6,34.53,233.83,221.0,199.0
