controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,57.74333306451639,173.22999919354916,115.48666612903277,7,226,0.997209218164327,4.286607799906051,14.884054860784898,-0.022587912099218954,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,1,55.87566255728403,167.6269876718521,111.75132511456808,8,224,0.9266320062023139,4.3992460998561,15.275160068944793,-1.8902584193315803,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,2,54.31495941902199,162.944878257066,108.629918838044,7,234,0.9972467616108048,6.675063299888279,23.17730312461208,-3.4509615575936223,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,3,57.34853701591493,172.04561104774476,114.69707403182983,9,224,0.9987592341986259,7.0598163001122884,24.513251042056556,-0.4173839607006826,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,4,61.45633653601011,184.36900960803032,122.91267307202021,7,232,0.9971516417460076,6.915491600142559,24.012123611606107,3.690415559394502,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,5,53.70106512481969,161.10319537445903,107.40213024963934,11,243,0.9979893815875872,6.69001350014878,23.229213542183263,-4.064855851795919,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,6,59.4575988953312,178.37279668599365,118.91519779066245,9,270,0.9982641915483644,6.001896200119518,20.839917361526105,1.691677918715591,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,7,44.226832665503025,132.68049799650908,88.45366533100605,8,219,0.6965307305871591,7.180464599907282,24.932168749678063,-13.539088311112586,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,8,52.86665752232075,158.59997256696224,105.73331504464149,7,239,0.9370744070515914,7.227967700047884,25.097110069610707,-4.899263454294861,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,9,67.20686826755602,201.62060480266808,134.41373653511206,10,257,0.9415270558675743,7.558498800077359,26.244787500268608,9.440947290940407,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,10,74.92031845549741,224.76095536649225,149.84063691099485,10,228,0.9253035647993034,4.610412200025166,16.00837569453183,17.154397478881798,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,11,58.187098065018645,174.56129419505595,116.3741961300373,7,207,0.8232209894612665,4.5919314999337075,15.94420659699204,0.42117708840303436,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,12,58.12793797552587,174.38381392657757,116.2558759510517,7,243,0.9992164180580284,3.2287403998197988,11.210904166040969,0.3620169989102564,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,13,57.30963563571373,171.9289069071412,114.61927127142746,5,223,0.9981276896561557,3.2541210997878807,11.299031596485698,-0.45628534090187856,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,14,59.78499275346596,179.3549782603979,119.56998550693194,11,245,0.8858837588292723,3.390680700118537,11.773196875411587,2.019071776850346,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,15,54.92058029025793,164.7617408707738,109.84116058051586,9,221,0.7939649660136578,3.258206599901314,11.313217360768451,-2.8453406863576802,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,16,60.526293244461215,181.57887973338364,121.05258648892243,6,229,0.9990052817897035,3.296929799966165,11.447672916549184,2.7603722678456037,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,17,66.91948425819476,200.75845277458427,133.8389685163895,7,234,0.9972423063189055,3.3048253002634738,11.475087848137061,9.153563281579146,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,18,39.07128413543104,117.21385240629314,78.1425682708621,8,235,0.8801345137349612,3.3179102999856696,11.52052187495024,-18.69463684118457,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,19,59.49431341886522,178.4829402565956,118.9886268377304,10,197,0.9992044224362902,3.3136909001186723,11.505871180967612,1.728392442249607,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,20,44.442098308354616,133.32629492506385,88.88419661670923,11,238,0.9986927215200395,3.244390000210842,11.265243056287646,-13.323822668260995,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,21,67.98828991949557,203.96486975848674,135.97657983899117,8,237,0.9979485983877938,3.417962799896486,11.867926388529465,10.22236894287996,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,22,45.630194552242756,136.89058365672827,91.26038910448551,9,240,0.8076725083498408,3.4187636998831294,11.870707291260866,-12.135726424372855,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,23,54.53660233318806,163.60980699956417,109.07320466637611,11,239,0.9107948215980276,3.7305085000989493,12.953154514232462,-3.229318643427554,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,24,58.34349901626507,175.0304970487952,116.68699803253014,10,236,0.8929746309146098,3.367582700084313,11.692995486403865,0.5775780396494596,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,25,80.61243888139725,241.83731664419173,161.22487776279448,6,245,0.9982012897623769,3.518173099932028,12.21587881920843,22.846517904781642,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,26,59.73521761645874,179.2056528493762,119.47043523291747,9,210,0.8034096213332306,3.3650156001676805,11.68408194502667,1.9692966398431295,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,27,38.277291270097095,114.83187381029128,76.55458254019419,6,259,0.9960864380896622,3.352899500197964,11.642012153465153,-19.488629706518516,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,28,66.8783286705613,200.63498601168394,133.75665734112263,5,255,0.9965996911049922,3.3058322001452325,11.478584028282057,9.112407693945691,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,29,61.10791326363881,183.32373979091642,122.21582652727761,7,240,0.9971013765550532,3.4127951999689685,11.849983333225586,3.3419922870231957,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h3,0,57.74333306451638,173.22999919354913,115.48666612903276,12,221,0.8587277735244628,4.657403099976364,16.171538541584596,-0.022587912099233165,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h3,1,55.98813422620296,167.96440267860888,111.97626845240592,8,224,0.49459815192911133,5.646269700082485,19.605103125286405,-1.7777867504126519,3,1.0,dynamic_1_5_p3_h1_3_6_12,dynamic:1.5,False,False,highs
