controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h12,0,103.46149510145187,161.4375,57.976004898548126,4,229,0.9984517157353089,11.76370339999994,40.8461923611109,0.0,3,0.5,0_75_p3_h12_s0_50,0.75,True,False,highs
equal_share,0,72.58699807641182,113.27934991051859,40.692351834106766,8,225,0.9960876579461511,0.002803599949402269,0.009734722046535657,-30.874497025040057,3,0.5,0_75_p3_h12_s0_50,0.75,True,False,highs
max_charge,0,103.46149510145183,161.43749999999994,57.97600489854811,11,222,0.9968973966659183,0.0012645999449887313,0.004390972031210872,-4.263256414560601e-14,3,0.5,0_75_p3_h12_s0_50,0.75,True,False,highs
random,0,101.82163083474722,158.86639482080304,57.04476398605582,6,227,0.9948073211358578,0.011216200000490062,0.038945138890590494,-1.6398642667046488,3,0.5,0_75_p3_h12_s0_50,0.75,True,False,highs
milp_h12,0,410.7630617221196,640.8999999999999,230.13693827788032,12,212,0.8503139691114968,29.116188599982706,101.09787708327329,0.0,12,0.5,0_75_p12_h12_s0_50,0.75,True,False,highs
equal_share,0,376.54000152199103,586.3315560745061,209.79155455251512,16,208,0.774927914908999,0.004696799922385253,0.016308333063837683,-34.22306020012854,12,0.5,0_75_p12_h12_s0_50,0.75,True,False,highs
max_charge,0,410.7630617221196,640.8999999999999,230.13693827788032,24,200,0.8299836832254128,0.001853300040238537,0.006435069584161586,0.0,12,0.5,0_75_p12_h12_s0_50,0.75,True,False,highs
random,0,405.95480458943507,633.337865365331,227.38306077589598,24,200,0.7915313133960907,0.018406999995931983,0.06391319443031938,-4.808257132684503,12,0.5,0_75_p12_h12_s0_50,0.75,True,False,highs
