controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,206.71877029616036,320.6498540282249,113.93108373206455,9,224,0.9966674304666521,4.604952900015633,15.989419791720946,-1.366933185655995,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,1,212.0399610766164,323.5498497366905,111.50988866007407,9,223,0.7795695473590564,4.292192100096145,14.903444792000503,3.9542575948000547,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,2,215.21049645549456,322.92485027313234,107.71435381763777,6,235,0.9983711705837773,4.220283500137157,14.653762153254016,7.124792973678211,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,3,208.65656716426213,323.0748492002487,114.41828203598658,8,225,0.9988173624404765,4.464019200124312,15.500066667098306,0.5708636824457756,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,4,202.07353379142603,324.4998508095741,122.4263170181481,7,232,0.9985805703405464,5.072813599952497,17.61393611094617,-6.012169690390323,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,5,214.36998567717472,321.4498508095741,107.07986513239939,9,245,0.9986918062025767,6.54686629997741,22.73217465269934,6.284282195358372,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,6,202.33188841740292,320.3748492002487,118.04296078284581,9,270,0.7968468199094542,6.924362000223482,24.04292361188709,-5.7538150644134305,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,7,234.61974661041734,322.7248513460159,88.10510473559857,8,219,0.9970233026422637,7.3866108000220265,25.647954166743148,26.534043128600985,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,8,216.42062081098553,321.1748492002487,104.75422838926315,7,239,0.8042142756700751,5.6008872000384144,19.447525000133382,8.334917329169173,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,9,189.81166098392643,323.8498497366905,134.03818875276406,9,259,0.7258890959602696,7.209338900007424,25.032426736136888,-18.274042497889923,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,10,173.4716805731694,322.92485027313234,149.45316969996293,9,229,0.8638596251223897,6.875507800112246,23.873290972611965,-34.614022908646945,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,11,204.44926067730103,319.29985194206233,114.85059126476132,8,207,0.998632730522574,7.815760799727286,27.13805833238641,-3.636442804515326,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,12,207.3246467151642,322.7748492002487,115.45020248508452,7,243,0.997985801950094,5.838413999750628,20.27227083246746,-0.7610567666521604,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,13,210.40879905294815,324.67484920024873,114.26605014730056,7,221,0.9969233610040176,4.65848689993436,16.175301735883195,2.3230955711318018,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,14,204.78645319948194,324.0248502731323,119.23839707365036,12,244,0.9246322476637214,3.572331599862082,12.403929166187785,-3.2992502823344125,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,15,214.49992373150587,323.9998508095741,109.49992707806825,6,224,0.997693578897724,3.234149999974761,11.229687499912366,6.414220249689521,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,16,203.7469621827205,324.3498486638069,120.6028864810864,7,228,0.9973861224501605,3.2686137000710005,11.34935312524653,-4.338741299095858,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,17,185.27693122974713,318.02485140562055,132.74792017587342,7,234,0.9988404486839312,3.269045300083235,11.350851736400122,-22.808772252069218,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,18,244.23151858150953,322.12484920024866,77.89333061873913,8,235,0.7669653578677006,3.4121421000745613,11.847715625258893,36.14581509969318,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,19,201.43393124639988,319.2498497366905,117.81591849029064,7,200,0.9952246366467055,3.2853105000103824,11.40732812503605,-6.651772235416473,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,20,230.71733030152316,318.3998529553413,87.68252265381815,8,240,0.9987069177820255,3.3579274999792688,11.659470486039128,22.63162681970681,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,21,185.33654898703097,321.5998508095741,136.26330182254313,7,238,0.99843217513287,3.29918500003987,11.45550347236066,-22.749154494785387,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,22,234.60950469130117,325.7748492002487,91.16534450894753,14,235,0.805686793928608,3.4188755999784917,11.871095833258652,26.523801209484816,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,23,214.736753064394,323.6998497366905,108.96309667229652,9,241,0.8359233813936192,3.339867999951821,11.5967638887216,6.651049582577656,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,24,206.58209259238004,322.2748502731323,115.69275768075227,12,234,0.9132923403274047,3.4685669998871163,12.043635416274709,-1.5036108894363167,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,25,164.13531614740688,324.8248492002487,160.68953305284182,6,245,0.9965903122330529,3.8840400999906706,13.486250347189829,-43.95038733440947,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,26,204.81303509713013,323.8748492002487,119.06181410311859,5,214,0.9994728645041572,3.3468210001301486,11.620906250451904,-3.2726683846862272,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,27,247.49745552021656,323.6748513460159,76.17739582579932,9,256,0.9987100004084294,3.3860288000141736,11.757044444493658,39.41175203840021,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
milp_h1,28,189.79317882959043,322.9248502731323,133.13167144354185,7,253,0.9978816482621602,3.3761778001498897,11.722839583853784,-18.29252465222592,3,1.0,0_75_p3_h1_3_6_12,0.75,True,True,highs
