controller,ports,net_profit_mean,net_profit_std,net_profit_min,net_profit_max,net_profit_median,net_profit_n,net_profit_ci_lower,net_profit_ci_upper,total_revenue_mean,total_revenue_std,total_revenue_min,total_revenue_max,total_revenue_median,total_revenue_n,total_revenue_ci_lower,total_revenue_ci_upper,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,total_cost_median,total_cost_n,total_cost_ci_lower,total_cost_ci_upper,served_customers_mean,served_customers_std,served_customers_min,served_customers_max,served_customers_median,served_customers_n,served_customers_ci_lower,served_customers_ci_upper,rejected_customers_mean,rejected_customers_std,rejected_customers_min,rejected_customers_max,rejected_customers_median,rejected_customers_n,rejected_customers_ci_lower,rejected_customers_ci_upper,mean_soc_fulfillment_mean,mean_soc_fulfillment_std,mean_soc_fulfillment_min,mean_soc_fulfillment_max,mean_soc_fulfillment_median,mean_soc_fulfillment_n,mean_soc_fulfillment_ci_lower,mean_soc_fulfillment_ci_upper,gap_to_best_mean,gap_to_best_std,gap_to_best_min,gap_to_best_max,gap_to_best_median,gap_to_best_n,gap_to_best_ci_lower,gap_to_best_ci_upper,total_compute_s_mean,total_compute_s_std,total_compute_s_min,total_compute_s_max,total_compute_s_median,total_compute_s_n,total_compute_s_ci_lower,total_compute_s_ci_upper,mean_step_ms_mean,mean_step_ms_std,mean_step_ms_min,mean_step_ms_max,mean_step_ms_median,mean_step_ms_n,mean_step_ms_ci_lower,mean_step_ms_ci_upper
milp_h12,6,68.85,7.3,54.27,82.12,69.24,10,64.32,73.37,293.03,31.45,230.34,350.23,294.74,10,273.54,312.53,224.18,24.15,176.07,268.11,225.5,10,209.21,239.16,15.8,3.2,11,22,15.5,10,13.8,17.8,226.4,18.3,207,265,222.5,10,215.1,237.7,0.93,0.107,0.717,0.999,0.997,10,0.864,0.997,-0.0,0.01,-0.02,0.0,0.0,10,-0.01,0.0,8.28,1.61,7.1,12.5,7.87,10,7.28,9.28,28.75,5.61,24.64,43.41,27.31,10,25.27,32.22
milp_h12,12,134.91,14.42,106.1,161.18,136.17,10,125.97,143.85,579.37,62.33,454.97,692.87,584.72,10,540.74,618.01,444.46,47.91,348.87,531.7,448.55,10,414.77,474.15,27.4,6.8,19,39,24.0,10,23.2,31.6,210.0,17.3,192,240,207.5,10,199.3,220.7,0.859,0.055,0.732,0.917,0.868,10,0.825,0.893,-0.0,0.0,-0.0,-0.0,-0.0,10,-0.0,-0.0,1011.67,3113.18,10.78,9871.85,37.1,10,-917.9,2941.24,3512.75,10809.66,37.44,34277.27,128.81,10,-3187.14,10212.65
milp_h3,3,35.26,3.68,27.85,41.92,35.43,10,32.97,37.54,147.54,15.79,115.87,176.1,148.19,10,137.76,157.33,112.29,12.11,88.02,134.18,112.76,10,104.78,119.79,8.8,2.0,6,12,8.5,10,7.5,10.1,236.5,17.5,220,271,231.0,10,225.7,247.3,0.95,0.069,0.796,0.998,0.981,10,0.907,0.992,-0.07,0.08,-0.25,0.0,-0.04,10,-0.12,-0.02,9.06,3.02,5.56,13.23,8.54,10,7.19,10.93,31.46,10.47,19.29,45.95,29.66,10,24.96,37.95
milp_h3,6,68.78,7.28,54.21,81.99,69.19,10,64.27,73.3,292.79,31.37,230.13,349.74,294.53,10,273.35,312.23,224.01,24.09,175.91,267.74,225.34,10,209.08,238.94,14.9,2.1,12,17,16.0,10,13.6,16.2,227.5,16.2,212,261,223.5,10,217.5,237.5,0.927,0.08,0.802,0.999,0.955,10,0.877,0.976,-0.07,0.06,-0.16,0.0,-0.05,10,-0.1,-0.03,4.16,0.84,3.27,5.73,4.0,10,3.64,4.68,14.44,2.92,11.34,19.89,13.88,10,12.63,16.25
milp_h3,12,134.91,14.42,106.1,161.18,136.15,10,125.97,143.85,579.36,62.33,454.97,692.87,584.64,10,540.72,617.99,444.45,47.91,348.87,531.7,448.49,10,414.75,474.14,28.8,2.3,25,31,30.0,10,27.4,30.2,209.0,17.0,189,245,204.0,10,198.4,219.6,0.864,0.079,0.683,0.933,0.889,10,0.815,0.912,-0.0,0.01,-0.03,0.0,-0.0,10,-0.01,0.0,4.87,0.58,4.38,6.39,4.72,10,4.51,5.23,16.91,2.02,15.21,22.19,16.38,10,15.66,18.17
milp_h6,3,35.3,3.67,27.95,41.92,35.5,10,33.03,37.58,147.79,15.74,116.35,176.1,148.61,10,138.03,157.55,112.49,12.07,88.4,134.18,113.11,10,105.01,119.97,8.7,2.2,6,12,9.0,10,7.3,10.1,236.4,16.1,219,268,232.5,10,226.4,246.4,0.786,0.3,0.0,0.998,0.813,10,0.6,0.971,-0.02,0.05,-0.15,0.0,-0.0,10,-0.05,0.01,9.09,3.69,6.03,17.06,7.54,10,6.81,11.38,31.58,12.81,20.93,59.23,26.18,10,23.64,39.52
milp_h6,6,68.83,7.28,54.29,82.03,69.23,10,64.32,73.34,292.96,31.37,230.42,349.92,294.71,10,273.52,312.4,224.13,24.09,176.14,267.89,225.48,10,209.2,239.07,15.5,3.0,12,20,15.0,10,13.7,17.3,227.3,17.9,211,264,221.5,10,216.2,238.4,0.902,0.133,0.614,0.998,0.98,10,0.819,0.984,-0.02,0.04,-0.09,0.0,-0.0,10,-0.05,-0.0,5.79,1.47,4.44,8.65,5.25,10,4.87,6.7,20.09,5.1,15.41,30.04,18.23,10,16.93,23.25
milp_h6,12,134.87,14.41,106.1,161.18,136.17,10,125.94,143.8,579.17,62.26,454.97,692.87,584.72,10,540.57,617.76,444.3,47.85,348.87,531.7,448.55,10,414.64,473.96,28.7,3.7,25,37,28.0,10,26.4,31.0,208.5,16.9,191,245,202.5,10,198.1,218.9,0.912,0.052,0.829,0.988,0.919,10,0.88,0.944,-0.05,0.13,-0.41,0.0,-0.0,10,-0.13,0.03,7.04,0.4,6.42,7.92,7.04,10,6.79,7.28,24.43,1.39,22.3,27.5,24.43,10,23.57,25.29
random,3,29.82,3.45,22.99,36.27,29.79,10,27.68,31.95,129.2,14.95,99.64,157.17,129.09,10,119.94,138.47,99.39,11.5,76.65,120.9,99.3,10,92.26,106.52,8.5,2.2,6,13,8.5,10,7.2,9.8,236.7,17.2,220,273,233.5,10,226.1,247.3,0.965,0.056,0.835,1.0,0.997,10,0.93,1.0,-5.51,0.47,-6.45,-4.96,-5.42,10,-5.8,-5.22,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01,0.02,0.0,0.02,0.03,0.02,10,0.02,0.02
random,6,62.08,6.76,48.94,74.95,61.86,10,57.89,66.27,269.01,29.31,212.09,324.77,268.06,10,250.85,287.18,206.93,22.54,163.15,249.82,206.2,10,192.96,220.9,19.0,3.4,13,24,19.0,10,16.9,21.1,223.3,16.9,204,259,220.0,10,212.8,233.8,0.89,0.082,0.788,0.998,0.877,10,0.839,0.94,-6.77,0.69,-7.48,-5.34,-7.04,10,-7.2,-6.34,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01,0.03,0.0,0.03,0.03,0.03,10,0.03,0.03
random,12,125.62,13.52,97.34,148.7,126.49,10,117.24,133.99,544.34,58.58,421.8,644.38,548.12,10,508.03,580.64,418.72,45.06,324.46,495.68,421.63,10,390.79,446.65,34.2,4.6,27,43,33.0,10,31.3,37.1,202.0,16.7,186,238,196.5,10,191.6,212.4,0.902,0.065,0.793,0.998,0.902,10,0.861,0.942,-9.3,1.42,-12.47,-7.59,-8.9,10,-10.18,-8.41,0.04,0.01,0.02,0.04,0.04,10,0.03,0.04,0.13,0.02,0.08,0.15,0.14,10,0.12,0.14
