controller_a,controller_b,metric,n_pairs,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,cohen_d,is_significant
equal_share,max_charge,net_profit,30,61.39861540361311,78.34521558486422,-16.94660018125111,3.389148824537423e-10,1.862645149230957e-09,-1.6966913371283996,True
equal_share,milp_h1,net_profit,30,61.39861540361311,79.62917330164895,-18.230557898035837,6.147165396217531e-11,1.862645149230957e-09,-1.8314652238021818,True
equal_share,milp_h12,net_profit,30,61.39861540361311,79.68435207754138,-18.285736673928252,5.662655612104844e-11,1.862645149230957e-09,-1.8380905635563254,True
equal_share,milp_h3,net_profit,30,61.39861540361311,79.65005092946465,-18.251435525851566,6.09021793181432e-11,1.862645149230957e-09,-1.8322156305285684,True
equal_share,milp_h6,net_profit,30,61.39861540361311,79.66470303726643,-18.26608763365333,5.552705773508294e-11,1.862645149230957e-09,-1.8396749307518008,True
equal_share,random,net_profit,30,61.39861540361311,72.50393949979943,-11.105324096186326,7.219736273251934e-08,6.146728992462158e-08,-1.305205048754505,True
max_charge,milp_h1,net_profit,30,78.34521558486422,79.62917330164895,-1.283957716784729,1.4150423826727641e-31,1.862645149230957e-09,-10.614152114997093,True
max_charge,milp_h12,net_profit,30,78.34521558486422,79.68435207754138,-1.339136492677142,1.6890944061533372e-30,1.862645149230957e-09,-9.736770104024739,True
max_charge,milp_h3,net_profit,30,78.34521558486422,79.65005092946465,-1.304835344600455,7.012720850167707e-31,1.862645149230957e-09,-10.039342576326549,True
max_charge,milp_h6,net_profit,30,78.34521558486422,79.66470303726643,-1.319487452402221,3.4024780045204195e-29,1.862645149230957e-09,-8.769020707240513,True
max_charge,random,net_profit,30,78.34521558486422,72.50393949979943,5.841276085064785,1.9699321388577737e-16,1.862645149230957e-09,3.0531512721791767,True
milp_h1,milp_h12,net_profit,30,79.62917330164895,79.68435207754138,-0.05517877589241339,0.0002340537178096701,0.0006084088236093521,-0.7661800432232568,True
milp_h1,milp_h3,net_profit,30,79.62917330164895,79.65005092946465,-0.020877627815726166,0.08029431694813495,0.3408819179593692,-0.3308929025923616,False
milp_h1,milp_h6,net_profit,30,79.62917330164895,79.66470303726643,-0.03552973561749215,0.06927949045326541,0.008142979815602303,-0.34442312342759,False
milp_h1,random,net_profit,30,79.62917330164895,72.50393949979943,7.125233801849515,6.033913894009773e-19,1.862645149230957e-09,3.788538850154802,True
milp_h12,milp_h3,net_profit,30,79.68435207754138,79.65005092946465,0.03430114807668723,0.016764569147176195,0.02009902604880586,0.46344474626779186,True
milp_h12,milp_h6,net_profit,30,79.68435207754138,79.66470303726643,0.01964904027492125,0.2505011685200007,0.32708652476329503,0.2140853910040682,False
milp_h12,random,net_profit,30,79.68435207754138,72.50393949979943,7.180412577741927,3.5366368520896406e-19,1.862645149230957e-09,3.8635129198880267,True
milp_h3,milp_h6,net_profit,30,79.65005092946465,79.66470303726643,-0.01465210780176598,0.4454231698645165,0.18357532003674315,-0.14124093721820954,False
milp_h3,random,net_profit,30,79.65005092946465,72.50393949979943,7.14611142966524,5.263514283464071e-19,1.862645149230957e-09,3.807586422914296,True
milp_h6,random,net_profit,30,79.66470303726643,72.50393949979943,7.160763537467005,3.223484081594956e-19,1.862645149230957e-09,3.8766569169887393,True
