controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,206.08833387096723,321.575,115.48666612903277,7,226,0.997209218164327,4.658191800037457,16.174277083463394,-2.0907462476690455,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,1,209.0236748854319,320.775,111.75132511456808,8,224,0.9266320062023139,4.488126500000362,15.583772569445703,0.8445947667956091,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,2,213.59508116195596,322.22499999999997,108.629918838044,7,234,0.9972467616108048,4.221867499909422,14.65926215246327,5.416001043319682,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,3,206.1846993009249,321.09999999999997,114.91530069907506,10,223,0.998290009169988,4.489548399906198,15.588709721896521,-1.9943808177113738,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,4,199.31232692797977,322.22499999999997,122.91267307202021,7,232,0.9971516417460076,4.270253400070942,14.827268750246326,-8.86675319065651,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,5,211.4478697503606,318.84999999999997,107.40213024963934,11,243,0.9979893815875872,4.1840354000087245,14.527900694474738,3.2687896317243315,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,6,200.55980220933753,319.47499999999997,118.91519779066245,9,270,0.9982641915483644,3.1264149001217447,10.855607292089392,-7.619277909298745,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,7,232.17133466899395,320.625,88.45366533100605,8,219,0.6965307305871591,2.8953069999988656,10.053149305551617,23.99225455035767,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,8,214.71668495535852,320.45,105.73331504464149,7,239,0.9370744070515914,3.765633199829608,13.07511527718614,6.537604836722238,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h1,9,187.0112634648879,321.42499999999995,134.41373653511206,10,257,0.9415270558675743,3.6436339002102613,12.651506597952297,-21.16781665374839,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h3,0,205.44464753667512,320.59999999999997,115.15535246332486,14,219,0.8388088982619897,8.592013599787606,29.833380554818078,-2.7344325819611583,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h3,1,209.44873154759404,321.42499999999995,111.97626845240592,8,224,0.49459815192911133,13.246344299870543,45.99425104121716,1.2696514289577578,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h3,2,213.81284849842393,322.55,108.7371515015761,6,235,0.9968856645654653,7.066430599894375,24.536217360744356,5.633768379787654,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h3,3,206.18469930092493,321.09999999999997,114.91530069907505,7,226,0.9988614323107382,7.994889299676288,27.760032290542668,-1.9943808177113453,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h3,4,199.7165099233389,322.875,123.1584900766611,6,233,0.8582836269246363,12.471625100035453,43.30425381956755,-8.462570195297388,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
milp_h3,5,211.6873557517926,319.175,107.4876442482074,12,242,0.9978899662773228,10.955884099879768,38.04126423569364,3.5082756331563303,3,0_75_p3_6_12_h1_3_6_12,0.75,True,False,highs
