controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,57.74333306451639,173.22999919354916,115.48666612903277,7,226,0.997209218164327,3.616285199947015,12.556545833149357,-0.022587912099218954,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,1,55.87566255728403,167.6269876718521,111.75132511456808,8,224,0.9266320062023139,3.0063069999814616,10.438565972157853,-1.8902584193315803,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,2,54.31495941902199,162.944878257066,108.629918838044,7,234,0.9972467616108048,3.345684699845151,11.61696076335122,-3.4509615575936223,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,3,57.34853701591493,172.04561104774476,114.69707403182983,9,224,0.9987592341986259,3.082517300026666,10.703185069537035,-0.4173839607006826,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,4,61.45633653601011,184.36900960803032,122.91267307202021,7,232,0.9971516417460076,3.6354413999870303,12.623060416621634,3.690415559394502,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,5,53.70106512481969,161.10319537445903,107.40213024963934,11,243,0.9979893815875872,4.171992199961096,14.486084027642695,-4.064855851795919,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,6,59.4575988953312,178.37279668599365,118.91519779066245,9,270,0.9982641915483644,4.174139399969135,14.493539583226164,1.691677918715591,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,7,44.226832665503025,132.68049799650908,88.45366533100605,8,219,0.6965307305871591,4.741152200018405,16.462334027841685,-13.539088311112586,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,8,52.86665752232075,158.59997256696224,105.73331504464149,7,239,0.9370744070515914,4.457358700012264,15.47693993059814,-4.899263454294861,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,9,67.20686826755602,201.62060480266808,134.41373653511206,10,257,0.9415270558675743,4.416299499978777,15.334373263815198,9.440947290940407,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,10,74.92031845549741,224.76095536649225,149.84063691099485,10,228,0.9253035647993034,4.748523000023852,16.487927083416153,17.154397478881798,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,11,58.187098065018645,174.56129419505595,116.3741961300373,7,207,0.8232209894612665,4.7098329000145895,16.35358645838399,0.42117708840303436,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,12,58.12793797552587,174.38381392657757,116.2558759510517,7,243,0.9992164180580284,4.098625599988736,14.231338888849779,0.3620169989102564,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,13,57.30963563571373,171.9289069071412,114.61927127142746,5,223,0.9981276896561557,4.274550399961299,14.842188888754512,-0.45628534090187856,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,14,59.78499275346596,179.3549782603979,119.56998550693194,11,245,0.8858837588292723,4.298142499974347,14.924105902688703,2.019071776850346,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,15,54.92058029025793,164.7617408707738,109.84116058051586,9,221,0.7939649660136578,4.384351300002891,15.223442013898925,-2.8453406863576802,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,16,60.526293244461215,181.57887973338364,121.05258648892243,6,229,0.9990052817897035,4.292257799956133,14.903672916514349,2.7603722678456037,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,17,66.91948425819476,200.75845277458427,133.8389685163895,7,234,0.9972423063189055,4.364349200026481,15.153990277869728,9.153563281579146,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
milp_h1,18,39.07128413543104,117.21385240629314,78.1425682708621,8,235,0.8801345137349612,4.783234500035178,16.608453125122146,-18.69463684118457,3,dynamic_1_5_p3_6_12_h1_3_6_12,dynamic:1.5,False,False,highs
