controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h12,0,155.13662298520404,242.06874999999997,86.93212701479592,4,229,0.9976005206588683,11.992412899955525,41.64032256929002,0.0,3,0.75,0_75_p3_h12_s0_75,0.75,True,False,highs
equal_share,0,154.15013775605982,240.52709445218292,86.3769566961231,12,221,0.9118603729394342,0.002763000004051719,0.009593750014068468,-0.9864852291442219,3,0.75,0_75_p3_h12_s0_75,0.75,True,False,highs
max_charge,0,155.13662298520399,242.0687499999999,86.93212701479591,12,221,0.9118603729394342,0.0012416000608936884,0.004311111322547529,-5.684341886080802e-14,3,0.75,0_75_p3_h12_s0_75,0.75,True,False,highs
random,0,148.78068648839312,232.161562272774,83.38087578438089,8,225,0.998644613686003,0.011152000042784493,0.03872222237077949,-6.355936496810926,3,0.75,0_75_p3_h12_s0_75,0.75,True,False,highs
milp_h12,0,612.1399765610693,955.0499999999997,342.9100234389304,21,203,0.7577490416227046,28.818327699918882,100.06363784694057,-1.1368683772161603e-13,12,0.75,0_75_p12_h12_s0_75,0.75,True,False,highs
equal_share,0,483.430682523585,751.1099764999223,267.67929397633725,19,205,0.9204945671246663,0.004727800100226887,0.016415972570232244,-128.70929403748437,12,0.75,0_75_p12_h12_s0_75,0.75,True,False,highs
max_charge,0,612.1399765610694,955.0499999999998,342.91002343893047,33,192,0.9372056207312521,0.0017968000101973303,0.006238888924296286,0.0,12,0.75,0_75_p12_h12_s0_75,0.75,True,False,highs
random,0,604.0573573097171,942.3363287485894,338.2789714388723,31,193,0.9089628923539238,0.01828189993830165,0.06347881923021406,-8.082619251352298,12,0.75,0_75_p12_h12_s0_75,0.75,True,False,highs
