controller,total_compute_s,mean_step_ms
equal_share,0.004,0.015
max_charge,0.001,0.005
milp_h1,3.304,11.471
milp_h12,344.47,1196.075
milp_h3,6.159,21.384
milp_h6,7.182,24.937
random,0.019,0.064
