,net_profit,net_profit,net_profit,served_customers,served_customers,served_customers,rejected_customers,rejected_customers,rejected_customers
ports,3,6,12,3,6,12,3,6,12
controller,,,,,,,,,
equal_share,151.25,327.95,662.22,6.1,14.8,28.6,239.0,227.3,207.7
max_charge,208.16,414.61,821.53,10.2,21.9,39.2,234.9,220.2,197.2
milp_h1,210.23,416.19,822.83,8.1,15.4,25.7,237.1,226.8,210.4
milp_h12,210.74,416.71,822.9,8.6,15.8,29.8,236.5,226.7,207.2
milp_h3,210.34,416.36,822.88,8.6,15.2,26.3,236.7,227.0,211.2
milp_h6,210.78,416.47,822.77,8.5,14.7,29.4,236.6,227.7,207.4
random,182.78,381.55,772.28,8.5,19.0,34.2,236.7,223.3,202.0
