controller_a,controller_b,metric,n_pairs,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,cohen_d,is_significant
equal_share,max_charge,net_profit,30,380.47378457878,481.4326147171192,-100.9588301383392,1.2534605579638433e-10,1.862645149230957e-09,-1.7745321843490067,True
equal_share,milp_h1,net_profit,30,380.47378457878,483.0821533254973,-102.60836874671728,7.866769236129323e-11,1.862645149230957e-09,-1.8116417913895406,True
equal_share,milp_h12,net_profit,30,380.47378457878,483.4493937489643,-102.97560917018443,7.055025142626499e-11,1.862645149230957e-09,-1.8203794494293868,True
equal_share,milp_h3,net_profit,30,380.47378457878,483.1942551780728,-102.7204705992928,7.825999009046784e-11,1.862645149230957e-09,-1.8120581339318966,True
equal_share,milp_h6,net_profit,30,380.47378457878,483.3418102734135,-102.86802569463362,7.07446487261067e-11,1.862645149230957e-09,-1.8201583908499277,True
equal_share,random,net_profit,30,380.47378457878,445.5345875991726,-65.06080302039263,6.396258819981039e-08,1.0244548320770264e-07,-1.3136080120078435,True
max_charge,milp_h1,net_profit,30,481.4326147171192,483.0821533254973,-1.6495386083780963,4.714859845526177e-14,1.862645149230957e-09,-2.4689540474251523,True
max_charge,milp_h12,net_profit,30,481.4326147171192,483.4493937489643,-2.0167790318452488,3.3591570415452993e-15,1.862645149230957e-09,-2.7386095327270463,True
max_charge,milp_h3,net_profit,30,481.4326147171192,483.1942551780728,-1.761640460953627,1.4825124992860336e-15,1.862645149230957e-09,-2.826535827610177,True
max_charge,milp_h6,net_profit,30,481.4326147171192,483.3418102734135,-1.909195556294433,5.87689438257788e-14,1.862645149230957e-09,-2.447402403321587,True
max_charge,random,net_profit,30,481.4326147171192,445.5345875991726,35.89802711794656,4.9283226102092846e-17,1.862645149230957e-09,3.2171367401973052,True
milp_h1,milp_h12,net_profit,30,483.0821533254973,483.4493937489643,-0.36724042346715274,3.209625329149761e-05,3.049522638320923e-05,-0.8974132390990059,True
milp_h1,milp_h3,net_profit,30,483.0821533254973,483.1942551780728,-0.11210185257553083,0.11022195660364581,0.28500162231356474,-0.3008157533000745,False
milp_h1,milp_h6,net_profit,30,483.0821533254973,483.3418102734135,-0.25965694791633687,0.0032299129291604584,0.0007978975772857666,-0.586168948667919,True
milp_h1,random,net_profit,30,483.0821533254973,445.5345875991726,37.54756572632466,8.029007453347043e-18,1.862645149230957e-09,3.442973353224097,True
milp_h12,milp_h3,net_profit,30,483.4493937489643,483.1942551780728,0.2551385708916219,0.0006164939672924425,0.011303061619400978,0.7011018294848074,True
milp_h12,milp_h6,net_profit,30,483.4493937489643,483.3418102734135,0.10758347555081589,0.03173339041559542,0.03400102540139365,0.4120202802335452,True
milp_h12,random,net_profit,30,483.4493937489643,445.5345875991726,37.91480614979182,3.704668779231449e-18,1.862645149230957e-09,3.543260397010257,True
milp_h3,milp_h6,net_profit,30,483.1942551780728,483.3418102734135,-0.14755509534080602,0.046925138073825305,0.06767564114400142,-0.37891325661127245,True
milp_h3,random,net_profit,30,483.1942551780728,445.5345875991726,37.65966757890019,6.423117717665973e-18,1.862645149230957e-09,3.47165462411875,True
milp_h6,random,net_profit,30,483.3418102734135,445.5345875991726,37.807222674241,3.767620700264406e-18,1.862645149230957e-09,3.5410492096296005,True
