controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,206.08833387096723,321.575,115.48666612903277,7,226,0.997209218164327,4.34038980002515,15.070797916753994,0.5258242131274073,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,1,209.0236748854319,320.775,111.75132511456808,8,224,0.9266320062023139,4.2660814998234855,14.812782985498213,3.461165227592062,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,2,213.59508116195596,322.22499999999997,108.629918838044,7,234,0.9972467616108048,4.217988099931972,14.645792013652681,8.032571504116135,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,3,205.75292596817016,320.45,114.69707403182983,9,224,0.9987592341986259,5.160392699763179,17.918030207511038,0.19041631033033468,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,4,199.31232692797977,322.22499999999997,122.91267307202021,7,232,0.9971516417460076,6.588027399877319,22.875095138462914,-6.250182729860057,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,5,211.4478697503606,318.84999999999997,107.40213024963934,11,243,0.9979893815875872,6.677626600008807,23.186203472252803,5.885360092520784,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,6,200.55980220933753,319.47499999999997,118.91519779066245,9,270,0.9982641915483644,7.048695199919166,24.47463611083044,-5.002707448502292,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,7,232.17133466899395,320.625,88.45366533100605,8,219,0.6965307305871591,6.501199400037876,22.573609027909292,26.608825011154124,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,8,214.71668495535852,320.45,105.73331504464149,7,239,0.9370744070515914,6.554890100087505,22.76003506974828,9.154175297518691,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,9,187.0112634648879,321.42499999999995,134.41373653511206,10,257,0.9415270558675743,6.713368600059766,23.31030763909641,-18.551246192951936,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,10,170.75936308900512,320.59999999999997,149.84063691099485,10,228,0.9253035647993034,7.5783252001565415,26.313629167210213,-34.803146568834705,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,11,203.57580386996267,319.95,116.3741961300373,7,207,0.8232209894612665,7.0418658000126015,24.45092291671042,-1.9867057878771561,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,12,205.64412404894827,321.9,116.2558759510517,7,243,0.9992164180580284,4.567379400003119,15.85895625001083,0.08161439110844526,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,13,207.6057287285725,322.22499999999997,114.61927127142746,5,223,0.9981276896561557,4.124918999877991,14.322635416243024,2.0432190707326754,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,14,202.00501449306805,321.575,119.56998550693194,11,245,0.8858837588292723,3.357876099922578,11.659292013620062,-3.5574951647717796,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,15,211.90883941948414,321.75,109.84116058051586,9,221,0.7939649660136578,3.2175456000841223,11.172033333625425,6.346329761644313,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,16,201.17241351107754,322.22499999999997,121.05258648892243,6,229,0.9990052817897035,3.2890629999310477,11.42035763864947,-4.390096146762289,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,17,183.86103148361042,317.69999999999993,133.8389685163895,7,234,0.9972423063189055,3.2616356999933487,11.325123958310238,-21.701478174229408,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,18,241.65743172913784,319.79999999999995,78.1425682708621,8,235,0.8801345137349612,3.2349748000706313,11.232551389134137,36.094922071298015,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,19,200.0113731622696,319.0,118.9886268377304,10,197,0.9992044224362902,3.3217724001733586,11.533931945046383,-5.551136495570233,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,20,229.64080338329074,318.525,88.88419661670923,11,238,0.9986927215200395,3.3270947999699274,11.552412499895581,24.07829372545092,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,21,181.4234201610088,317.4,135.97657983899117,8,237,0.9979485983877938,3.3808416000538273,11.739033333520233,-24.13908949683102,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,22,231.6146108955145,322.875,91.26038910448551,9,240,0.8076725083498408,3.238804300126503,11.245848264328137,26.052101237674663,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,23,211.5517953336239,320.625,109.07320466637611,11,239,0.9107948215980276,3.3010598001274047,11.462013194886822,5.9892856757840605,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,24,204.88800196746985,321.575,116.68699803253014,10,236,0.8929746309146098,3.4928709999803687,12.128024305487392,-0.6745076903699783,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,25,161.32512223720548,322.54999999999995,161.22487776279448,6,245,0.9982012897623769,3.8266247999854386,13.286891666616107,-44.23738742063435,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,26,202.10456476708254,321.575,119.47043523291747,9,210,0.8034096213332306,3.3438282001006883,11.610514583682946,-3.4579448907572896,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
milp_h1,27,245.3454174598058,321.9,76.55458254019419,6,259,0.9960864380896622,3.3866882998408983,11.759334374447564,39.78290780196596,3,1.0,0_75_p3_h1_3_6_12,0.75,False,False,highs
